start,start_time,end,end_time
Stockholm,2023-06-11 18:19:45,Turku,2023-06-12 04:36:33
Turku,2023-06-12 05:46:44,Mariehamn,2023-06-12 11:12:43
Mariehamn,2023-06-12 11:27:45,Stockholm,2023-06-12 16:58:46
Stockholm,2023-06-12 17:33:55,Turku,2023-06-13 04:35:30
Turku,2023-06-13 05:50:39,Mariehamn,2023-06-13 11:16:50
Mariehamn,2023-06-13 11:31:47,Stockholm,2023-06-13 17:07:45
Stockholm,2023-06-13 18:22:55,Turku,2023-06-14 04:39:43
Turku,2023-06-14 05:49:46,Mariehamn,2023-06-14 11:15:58
Mariehamn,2023-06-14 11:41:07,Stockholm,2023-06-14 17:02:13
Stockholm,2023-06-14 18:17:23,Turku,2023-06-15 04:34:09
Turku,2023-06-15 05:49:23,Mariehamn,2023-06-15 11:10:31
Mariehamn,2023-06-15 11:35:33,Stockholm,2023-06-15 16:56:32
Stockholm,2023-06-15 18:21:52,Turku,2023-06-16 04:33:24
Turku,2023-06-16 05:43:31,Mariehamn,2023-06-16 11:14:33
Mariehamn,2023-06-16 11:34:37,Stockholm,2023-06-16 16:55:38
Stockholm,2023-06-16 18:10:48,Turku,2023-06-17 04:32:46
Turku,2023-06-17 05:47:57,Mariehamn,2023-06-17 11:08:53
Mariehamn,2023-06-17 11:33:57,Stockholm,2023-06-17 16:59:51
Stockholm,2023-06-17 17:59:58,Turku,2023-06-18 04:36:45
Turku,2023-06-18 05:41:57,Mariehamn,2023-06-18 11:08:08
Mariehamn,2023-06-18 11:28:12,Stockholm,2023-06-18 16:54:03
Stockholm,2023-06-18 18:19:17,Turku,2023-06-19 04:36:03
Turku,2023-06-19 05:46:17,Mariehamn,2023-06-19 11:12:23
Mariehamn,2023-06-19 11:27:23,Stockholm,2023-06-19 16:53:22
Stockholm,2023-06-19 17:58:27,Turku,2023-06-20 04:35:34
Turku,2023-06-20 05:45:49,Mariehamn,2023-06-20 11:11:45
Mariehamn,2023-06-20 11:31:56,Stockholm,2023-06-20 16:52:50
Stockholm,2023-06-20 18:18:09,Turku,2023-06-21 04:34:50
Turku,2023-06-21 05:45:07,Mariehamn,2023-06-21 11:11:06
Mariehamn,2023-06-21 11:26:10,Stockholm,2023-06-21 16:48:31
Stockholm,2023-06-21 18:13:49,Turku,2023-06-22 04:35:32
Turku,2023-06-22 05:50:51,Mariehamn,2023-06-22 11:12:02
Mariehamn,2023-06-22 11:32:05,Stockholm,2023-06-22 16:59:22
Stockholm,2023-06-22 18:09:32,Turku,2023-06-23 04:36:30
Turku,2023-06-23 05:51:49,Mariehamn,2023-06-23 11:12:49
Mariehamn,2023-06-23 11:37:49,Stockholm,2023-06-23 16:59:04
Stockholm,2023-06-23 17:54:14,Turku,2023-06-24 04:31:33
Turku,2023-06-24 05:46:53,Mariehamn,2023-06-24 11:12:59
Mariehamn,2023-06-24 11:33:01,Stockholm,2023-06-24 16:53:57
Stockholm,2023-06-24 17:54:07,Turku,2023-06-25 04:31:04
Turku,2023-06-25 05:46:17,Mariehamn,2023-06-25 11:07:13
Mariehamn,2023-06-25 11:37:12,Stockholm,2023-06-25 16:53:15
Stockholm,2023-06-25 18:23:31,Turku,2023-06-26 04:35:15
Turku,2023-06-26 05:55:26,Mariehamn,2023-06-26 11:11:26
