start,start_time,end,end_time
Helsinki,2023-04-24 19:16:55,Tallinn,2023-04-24 21:32:24
Tallinn,2023-04-25 04:18:44,Helsinki,2023-04-25 06:34:13
Helsinki,2023-04-25 07:14:18,Tallinn,2023-04-25 09:34:45
Tallinn,2023-04-25 10:20:00,Helsinki,2023-04-25 12:35:24
Helsinki,2023-04-25 13:15:31,Tallinn,2023-04-25 15:35:00
Tallinn,2023-04-25 16:16:21,Helsinki,2023-04-25 18:36:46
Helsinki,2023-04-25 19:47:05,Tallinn,2023-04-25 22:02:29
Tallinn,2023-04-26 04:18:38,Helsinki,2023-04-26 06:34:05
Helsinki,2023-04-26 07:19:15,Tallinn,2023-04-26 09:34:38
Tallinn,2023-04-26 10:14:44,Helsinki,2023-04-26 12:35:10
Helsinki,2023-04-26 13:20:19,Tallinn,2023-04-26 15:30:49
Tallinn,2023-04-26 16:15:54,Helsinki,2023-04-26 18:36:22
Helsinki,2023-04-26 19:16:32,Tallinn,2023-04-26 21:35:35
Tallinn,2023-04-27 04:18:17,Helsinki,2023-04-27 06:33:46
Helsinki,2023-04-27 07:18:55,Tallinn,2023-04-27 09:34:15
Tallinn,2023-04-27 10:14:26,Helsinki,2023-04-27 12:34:52
Helsinki,2023-04-27 13:20:01,Tallinn,2023-04-27 15:34:38
Tallinn,2023-04-27 16:15:44,Helsinki,2023-04-27 18:36:07
Helsinki,2023-04-27 19:21:23,Tallinn,2023-04-27 21:31:50
Tallinn,2023-04-28 04:18:20,Helsinki,2023-04-28 06:33:48
Helsinki,2023-04-28 07:18:57,Tallinn,2023-04-28 09:34:21
Tallinn,2023-04-28 10:19:32,Helsinki,2023-04-28 12:34:57
Helsinki,2023-04-28 13:20:10,Tallinn,2023-04-28 15:35:30
Tallinn,2023-04-28 16:15:50,Helsinki,2023-04-28 18:36:08
Helsinki,2023-04-28 19:16:22,Tallinn,2023-04-28 21:31:53
Tallinn,2023-04-29 04:18:11,Helsinki,2023-04-29 06:38:39
Helsinki,2023-04-29 07:18:49,Tallinn,2023-04-29 09:34:13
Tallinn,2023-04-29 10:19:25,Helsinki,2023-04-29 12:29:32
Helsinki,2023-04-29 13:19:56,Tallinn,2023-04-29 15:30:23
Tallinn,2023-04-29 16:15:32,Helsinki,2023-04-29 18:30:56
Helsinki,2023-04-29 19:16:06,Tallinn,2023-04-29 21:31:27
Tallinn,2023-04-30 04:18:03,Helsinki,2023-04-30 06:33:19
Helsinki,2023-04-30 07:18:33,Tallinn,2023-04-30 09:28:56
Tallinn,2023-04-30 10:19:11,Helsinki,2023-04-30 12:34:29
Helsinki,2023-04-30 13:14:45,Tallinn,2023-04-30 15:30:12
Tallinn,2023-04-30 16:15:25,Helsinki,2023-04-30 18:30:47
Helsinki,2023-04-30 19:15:57,Tallinn,2023-04-30 21:31:31
Tallinn,2023-05-01 04:17:49,Helsinki,2023-05-01 06:33:10
Helsinki,2023-05-01 07:18:23,Tallinn,2023-05-01 09:28:44
Tallinn,2023-05-01 10:18:57,Helsinki,2023-05-01 12:34:26
Helsinki,2023-05-01 13:19:34,Tallinn,2023-05-01 15:29:59
Tallinn,2023-05-01 16:15:14,Helsinki,2023-05-01 18:30:41
Helsinki,2023-05-01 19:15:50,Tallinn,2023-05-01 21:31:12
Tallinn,2023-05-02 04:17:32,Helsinki,2023-05-02 06:32:58
Helsinki,2023-05-02 07:18:05,Tallinn,2023-05-02 09:33:32
Tallinn,2023-05-02 10:18:50,Helsinki,2023-05-02 12:29:11
Helsinki,2023-05-02 13:19:28,Tallinn,2023-05-02 15:29:52
Tallinn,2023-05-02 16:14:54,Helsinki,2023-05-02 18:35:26
Helsinki,2023-05-02 19:50:39,Tallinn,2023-05-02 22:00:59
Tallinn,2023-05-03 04:15:30,Helsinki,2023-05-03 06:32:29
Helsinki,2023-05-03 07:17:41,Tallinn,2023-05-03 09:28:11
Tallinn,2023-05-03 10:18:22,Helsinki,2023-05-03 12:34:39
Helsinki,2023-05-03 13:15:46,Tallinn,2023-05-03 15:30:06
Tallinn,2023-05-03 16:16:25,Helsinki,2023-05-03 18:31:44
Helsinki,2023-05-03 19:16:55,Tallinn,2023-05-03 21:31:50
Tallinn,2023-05-04 04:18:32,Helsinki,2023-05-04 06:33:46
Helsinki,2023-05-04 07:18:58,Tallinn,2023-05-04 09:29:29
Tallinn,2023-05-04 10:19:38,Helsinki,2023-05-04 12:34:52
Helsinki,2023-05-04 13:20:09,Tallinn,2023-05-04 15:30:34
Tallinn,2023-05-04 16:20:50,Helsinki,2023-05-04 18:36:11
Helsinki,2023-05-04 19:16:22,Tallinn,2023-05-04 21:30:40
Tallinn,2023-05-05 04:18:08,Helsinki,2023-05-05 06:33:30
Helsinki,2023-05-05 07:18:39,Tallinn,2023-05-05 09:29:04
Tallinn,2023-05-05 10:19:12,Helsinki,2023-05-05 12:34:33
Helsinki,2023-05-05 13:19:40,Tallinn,2023-05-05 15:30:13
Tallinn,2023-05-05 16:20:21,Helsinki,2023-05-05 18:35:46
Helsinki,2023-05-05 19:15:52,Tallinn,2023-05-05 21:31:16
Tallinn,2023-05-06 04:17:32,Helsinki,2023-05-06 06:32:49
Helsinki,2023-05-06 07:18:03,Tallinn,2023-05-06 09:31:06
Tallinn,2023-05-06 10:18:32,Helsinki,2023-05-06 12:33:54
Helsinki,2023-05-06 13:14:03,Tallinn,2023-05-06 15:29:30
Tallinn,2023-05-06 16:19:36,Helsinki,2023-05-06 18:34:53
Helsinki,2023-05-06 19:15:06,Tallinn,2023-05-06 21:35:12
Tallinn,2023-05-07 04:21:44,Helsinki,2023-05-07 06:32:09
Helsinki,2023-05-07 07:22:18,Tallinn,2023-05-07 09:27:42
Tallinn,2023-05-07 10:17:54,Helsinki,2023-05-07 12:33:10
Helsinki,2023-05-07 13:18:31,Tallinn,2023-05-07 15:32:57
Tallinn,2023-05-07 16:19:04,Helsinki,2023-05-07 18:34:31
Helsinki,2023-05-07 19:14:33,Tallinn,2023-05-07 21:35:04
Tallinn,2023-05-08 04:16:08,Helsinki,2023-05-08 06:31:34
Helsinki,2023-05-08 07:16:45,Tallinn,2023-05-08 09:31:52
Tallinn,2023-05-08 10:17:24,Helsinki,2023-05-08 12:32:35
Helsinki,2023-05-08 13:18:00,Tallinn,2023-05-08 15:31:14
Tallinn,2023-05-08 16:18:33,Helsinki,2023-05-08 18:33:45
Helsinki,2023-05-08 19:13:54,Tallinn,2023-05-08 21:34:12
Tallinn,2023-05-09 04:15:32,Helsinki,2023-05-09 06:34:32
Helsinki,2023-05-09 07:16:00,Tallinn,2023-05-09 09:28:59
Tallinn,2023-05-09 10:16:36,Helsinki,2023-05-09 12:32:01
Helsinki,2023-05-09 13:17:05,Tallinn,2023-05-09 15:32:35
Tallinn,2023-05-09 16:17:35,Helsinki,2023-05-09 18:32:59
Helsinki,2023-05-09 19:48:21,Tallinn,2023-05-09 22:03:50
Tallinn,2023-05-10 04:20:07,Helsinki,2023-05-10 06:35:29
Helsinki,2023-05-10 07:15:43,Tallinn,2023-05-10 09:36:11
Tallinn,2023-05-10 10:16:17,Helsinki,2023-05-10 12:36:35
Helsinki,2023-05-10 13:16:56,Tallinn,2023-05-10 15:32:20
Tallinn,2023-05-10 16:22:27,Helsinki,2023-05-10 18:36:49
Helsinki,2023-05-10 19:18:04,Tallinn,2023-05-10 21:33:28
Tallinn,2023-05-11 04:14:47,Helsinki,2023-05-11 06:35:14
Helsinki,2023-05-11 07:20:22,Tallinn,2023-05-11 09:34:32
Tallinn,2023-05-11 10:21:00,Helsinki,2023-05-11 12:35:49
Helsinki,2023-05-11 13:21:31,Tallinn,2023-05-11 15:35:26
Tallinn,2023-05-11 16:17:03,Helsinki,2023-05-11 18:32:28
Helsinki,2023-05-11 19:17:36,Tallinn,2023-05-11 21:36:56
Tallinn,2023-05-12 04:19:05,Helsinki,2023-05-12 06:39:27
Helsinki,2023-05-12 07:19:38,Tallinn,2023-05-12 09:34:19
Tallinn,2023-05-12 10:15:09,Helsinki,2023-05-12 12:34:22
Helsinki,2023-05-12 13:20:47,Tallinn,2023-05-12 15:36:14
Tallinn,2023-05-12 16:16:16,Helsinki,2023-05-12 18:31:48
